battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,
1151,1,2.9,1,0,0,31744 MB,0.6,128,8,1,1022,1560,2377MB,18,8,13,0,1,No,"$6,089 MXN",
1578,0,1.9,1,2,1,37 MB,0.1,138,4,19,411,1226,2458MB,19,16,3,1,0,yes,"USD 28,099",
1689,0,1.8,0,17,0,24 GB,0.3,127,3,18,954,1200,2766MB,7,2,7,0,1,1,EUR 29090,
1488,0,0.5,0,1,0,39000 MB,0.8,112,5,6,1528,1647,3054MB,14,10,19,0,0,0,47000 MXN,
1313,1,1.8,1,4,0,9GB,0.4,105,1,6,416,1308,3791MB,11,10,6,0,1,yes,"13,089 pesos",
1715,0,1,1,4,1,31 GB,0.5,83,8,17,638,1615,625MB,17,6,13,1,0,no,EUR 36100,
1442,0,1,1,0,0,27 GB,0.1,192,3,19,231,687,2227MB,6,5,20,1,1,0,29100 USD,
528,0,1.7,0,12,1,6000 MB,0.8,142,2,15,574,637,3256MB,9,8,6,1,1,0,"17,000 MXN",
1523,1,1.8,0,6,1,11000 MB,0.1,129,1,8,148,1606,707MB,19,8,19,1,1,no,EUR 30000,
1133,0,1.4,0,3,0,42000 MB,0.1,199,5,12,730,1543,1457MB,18,12,20,1,0,1,38100 USD,
1718,1,2.5,1,14,1,6144 MB,0.1,183,5,16,564,980,3755MB,7,1,8,1,1,1,3100 USD,
1330,0,0.5,0,0,0,38GB,1,183,7,1,1290,1441,1733MB,9,0,11,1,0,Yes,"$13,099 ",
1799,1,0.5,0,0,0,49000 MB,0.4,107,4,2,632,1383,720MB,12,2,11,1,1,Yes,24100 USD,
633,1,2.2,0,0,1,49 GB,0.1,139,8,1,529,1009,3560MB,11,1,16,1,1,Yes,"$19,090 ",
724,0,2.7,1,0,0,44 GB,0.5,187,7,0,1273,1754,2311MB,7,6,7,1,0,0,"USD 2,049",
822,1,0.5,0,0,1,52224 MB,0.3,157,6,20,667,860,3846MB,10,1,3,1,0,No,EUR 17100,
1918,0,1.9,0,2,0,10240 MB,0.6,110,5,10,1170,1543,1717MB,7,1,16,1,1,1,EUR 37000,
1891,0,2.8,0,7,1,37000 MB,0.4,129,7,14,169,1108,3704MB,8,6,11,1,0,no,EUR 43100,
1373,1,1,1,2,0,50 GB,0.2,127,7,12,105,673,3800MB,8,3,14,1,0,no,"3,000 MXN",
862,1,0.8,1,3,0,23 GB,0.4,165,2,15,793,1758,278MB,16,3,11,0,0,1,"$16,099 ",
1273,0,1,0,3,1,48000 MB,0.4,99,4,15,490,886,1767MB,18,15,11,1,1,0,EUR 21090,
957,1,2.5,0,4,0,7 MB,0.8,107,5,10,1201,1485,1846MB,12,5,7,1,0,1,37100 MXN,
1617,1,1.3,1,3,1,30 GB,0.7,105,2,4,246,1038,829MB,9,0,10,1,0,No,49100 USD,
893,0,2.5,1,0,0,55000 MB,0.6,183,2,1,417,946,2986MB,7,1,6,0,1,1,"46,099 MXN",
1210,0,0.5,0,0,0,63 GB,0.1,93,5,0,1177,1462,2394MB,17,9,7,0,0,No,"$21,089 ",
708,1,2.7,1,0,1,63 GB,1,195,8,7,78,654,2169MB,6,5,7,1,1,yes,9000 USD,
835,0,1.1,1,2,0,7GB,0.2,101,4,7,323,1604,1181MB,13,5,15,1,1,1,"$9,049 ",
1450,1,2.7,1,9,0,19 GB,0.6,131,1,17,707,1882,575MB,15,9,12,0,0,no,"15,099 MXN",
973,1,1.5,0,5,1,58368 MB,0.2,190,7,16,457,1816,2977MB,6,4,2,1,0,0,"USD 48,089",
601,1,1.4,0,4,1,4 MB,0.1,154,4,13,356,765,532MB,12,8,10,1,1,1,"$14,089 ",
507,1,0.5,1,1,0,32 GB,0.5,141,7,11,936,1398,1702MB,17,0,5,1,1,Yes,"25,049 MXN",
564,0,1.8,1,0,1,51 GB,0.5,168,3,1,912,1980,1074MB,14,8,15,1,1,0,"2,049 MXN",
1559,1,1.6,1,6,1,6000 MB,0.5,162,6,17,179,1559,3352MB,9,1,3,1,1,Yes,"$4,000 ",
754,0,0.5,1,7,1,60416 MB,0.7,178,7,10,1914,1928,1027MB,6,3,5,1,0,0,EUR 20000,
728,0,2.7,1,0,0,25000 MB,0.2,88,4,1,526,1529,2039MB,5,1,12,1,1,1,"8,000 pesos",
1431,1,0.5,0,0,1,56000 MB,0.6,191,1,1,156,952,461MB,7,3,8,1,0,no,EUR 20100,
767,0,1.5,0,4,0,28672 MB,0.7,175,4,10,344,1517,527MB,10,0,15,0,1,0,"$30,089 ",
1722,0,2.6,0,8,0,18 GB,0.8,177,2,16,865,1741,3271MB,14,0,15,1,0,yes,EUR 5090,
1992,1,1.6,0,5,1,57 MB,1,100,2,15,1552,1596,606MB,9,3,4,1,1,yes,9000 MXN,
1876,0,0.5,0,10,1,40000 MB,0.3,86,6,14,546,1564,2513MB,10,8,16,1,1,0,"33,000 pesos",
1054,0,1.1,1,10,1,38 GB,0.4,136,6,12,1097,1222,1675MB,18,4,14,1,1,1,"$42,000 ",
1283,1,1.6,1,4,0,47 MB,0.9,93,5,5,372,692,2698MB,9,6,17,1,1,no,"USD 11,089",
1281,1,2.3,1,0,0,28GB,0.3,148,1,6,1285,1617,1129MB,12,1,6,0,1,No,"$17,000 ",
1066,0,0.6,0,2,1,7GB,0.9,114,7,18,1242,1571,468MB,19,13,6,1,1,0,"50,099 pesos",
730,0,2.1,1,0,1,4000 MB,0.1,89,8,2,302,1247,1210MB,19,15,4,1,1,yes,"$40,000 ",
1053,1,0.8,1,7,1,45GB,0.3,103,1,12,594,1767,3086MB,17,6,5,1,1,1,EUR 26100,
1611,1,0.5,1,11,0,3000 MB,0.6,98,3,14,303,714,1595MB,8,4,9,1,0,1,"21,099 MXN",
793,0,1,1,5,1,30720 MB,0.9,133,2,15,1858,1935,2332MB,17,13,14,1,1,1,"38,000 pesos",
1220,0,2.9,0,3,0,63488 MB,0.5,125,4,8,403,1933,2589MB,19,11,15,1,1,1,"$49,000 ",
1662,0,0.5,0,0,1,61GB,0.8,126,4,13,32,1509,3760MB,9,5,13,1,1,yes,"42,049 MXN",
1281,1,2.8,1,3,1,8000 MB,0.3,144,4,19,590,954,1851MB,8,2,9,1,1,no,"$44,000 ",
538,0,0.8,0,12,1,2000 MB,0.8,177,7,13,235,662,417MB,8,4,9,1,0,yes,"$17,000 ",
823,1,0.5,0,0,0,39 GB,0.4,187,8,4,630,888,294MB,13,9,11,0,0,Yes,"$6,049 MXN",
1733,1,2.8,0,3,1,36GB,1,119,6,20,357,527,3576MB,17,16,9,1,0,no,"28,099 pesos",
1429,0,1.5,1,0,1,40GB,0.9,100,3,14,246,820,3945MB,11,7,18,1,0,1,"$32,089 MXN",
1839,1,1.2,0,9,1,54 GB,0.5,200,7,11,475,1493,927MB,19,10,18,1,0,yes,"16,089 MXN",
659,0,2.7,0,6,1,6144 MB,0.5,110,3,7,1054,1929,2044MB,15,5,2,1,0,1,"USD 46,099",
1953,1,2.1,1,7,0,56GB,0.1,158,8,9,555,764,2334MB,11,5,4,1,0,no,"45,049 MXN",
1172,0,1.9,0,0,1,27000 MB,0.7,164,1,3,607,1092,1477MB,12,0,6,1,0,0,42000 MXN,
612,1,1.9,1,6,0,16384 MB,0.3,102,7,7,1360,1891,3161MB,8,4,3,0,0,0,"$9,049 ",
1563,0,2.4,0,0,1,24 GB,0.2,170,8,0,142,1699,3660MB,7,5,5,1,1,no,"USD 19,049",
1191,0,1.3,1,16,1,26 MB,0.8,84,1,20,681,683,1604MB,14,3,9,1,0,1,"5,049 MXN",
615,1,0.5,1,0,0,42 GB,0.6,163,6,4,104,1664,2211MB,7,4,18,0,0,Yes,EUR 40090,
1893,1,2.1,1,8,0,64512 MB,0.2,134,2,11,637,763,3822MB,14,3,18,0,1,1,"9,099 MXN",
1563,0,1.7,1,10,0,16384 MB,0.1,151,7,13,410,572,3922MB,11,1,8,0,0,yes,"46,099 MXN",
1995,1,1.9,0,6,0,9 GB,0.8,139,6,18,1830,1963,1203MB,14,12,18,1,1,yes,EUR 34100,
1517,0,0.5,0,6,1,48 MB,0.6,143,5,14,802,1489,2822MB,15,5,11,1,1,yes,7000 MXN,
832,0,1.6,1,1,1,34 GB,0.3,108,5,5,311,1294,447MB,15,13,12,1,1,0,"49,089 pesos",
1162,0,2,0,0,1,57344 MB,0.7,114,7,1,56,997,1652MB,5,0,20,1,0,No,"USD 18,000",
1595,1,2.6,0,7,0,12000 MB,0.3,121,8,19,344,655,3608MB,15,1,16,0,1,no,"16,000 MXN",
1329,1,1,0,1,0,52 GB,0.9,181,6,2,1053,1458,1228MB,8,6,6,1,0,yes,"$38,000 ",
928,1,0.5,1,11,0,56GB,0.7,80,8,13,221,1243,666MB,19,10,5,0,1,no,"32,099 MXN",
1656,1,0.5,1,8,1,38912 MB,0.1,105,7,17,506,519,1499MB,12,8,19,1,0,Yes,EUR 13100,
1937,1,1.7,0,17,0,58 GB,0.6,189,1,19,1728,1767,3321MB,5,4,14,1,1,no,7100 USD,
977,1,1.1,1,2,0,57 GB,0.6,181,6,7,63,566,1206MB,7,1,8,0,1,1,28100 USD,
768,1,0.9,0,16,1,56 GB,0.1,113,1,20,418,515,952MB,19,3,16,1,0,1,"$44,000 ",
1464,1,0.5,1,11,0,12 MB,0.9,117,2,14,854,1168,3927MB,5,3,15,0,1,yes,EUR 23100,
1177,0,0.9,0,1,1,29GB,0.4,191,2,8,178,882,311MB,18,5,19,1,0,0,"$20,100 ",
1348,0,2,0,18,0,53248 MB,0.3,98,3,20,1869,1942,955MB,18,11,7,1,1,1,"USD 4,099",
1956,0,2.2,0,0,1,37888 MB,0.5,87,3,2,185,776,1109MB,13,1,19,1,1,no,22100 USD,
1751,0,0.5,1,6,0,8GB,0.6,178,6,20,170,564,2969MB,8,6,17,0,0,1,"$9,100 ",
1530,0,2,0,11,0,42 GB,0.8,177,6,13,454,1975,725MB,11,10,19,0,0,yes,2100 MXN,
1997,1,1.8,1,1,0,40 MB,0.5,185,4,8,866,1212,1655MB,7,6,15,1,0,no,"$5,000 ",
1414,1,1.5,1,5,0,44000 MB,0.5,180,2,6,44,1118,3490MB,16,12,13,0,1,no,EUR 25100,
1707,0,1.4,0,0,0,41 GB,0.8,80,7,2,1331,1388,1774MB,12,0,10,0,0,no,"$50,000 ",
894,0,0.5,1,1,1,50000 MB,0.5,199,3,14,1285,1462,3615MB,13,0,6,1,0,Yes,"19,049 MXN",
645,0,1.2,0,6,1,41000 MB,0.7,184,8,17,741,1130,714MB,18,2,13,1,1,0,"USD 30,099",
1163,0,2.8,1,0,0,49000 MB,0.6,155,2,0,520,754,2768MB,19,2,12,0,0,Yes,"$3,049 ",
1126,0,0.7,0,3,0,49000 MB,0.9,165,8,17,114,1726,3739MB,14,1,13,1,0,no,"$21,000 ",
1648,0,0.7,0,6,1,64000 MB,0.8,170,4,9,1153,1876,610MB,8,1,6,1,1,no,"$28,000 ",
1170,1,0.9,0,6,1,14336 MB,0.4,199,2,13,474,709,715MB,18,5,20,1,0,1,"USD 9,099",
508,0,0.8,0,7,1,43008 MB,0.3,94,1,8,39,557,663MB,13,12,7,1,0,0,EUR 43000,
1097,0,2.1,1,6,0,65536 MB,0.2,161,3,8,419,1914,1725MB,14,5,9,1,0,yes,"$47,090 ",
728,0,1.7,1,0,1,5 GB,0.6,101,2,20,584,775,834MB,16,0,5,1,1,0,47100 MXN,
1980,0,0.5,1,2,1,29000 MB,0.8,177,1,13,312,1910,3865MB,12,10,18,1,0,0,"$32,099 ",
1504,0,2.3,1,1,0,65536 MB,0.9,182,1,2,19,1923,3059MB,6,5,10,0,1,no,31000 MXN,
1379,1,2.1,1,14,1,63000 MB,1,83,1,17,207,1370,651MB,9,6,7,1,1,no,"USD 14,049",
1698,0,2.1,0,5,1,18GB,0.9,160,6,20,363,994,796MB,13,3,14,1,0,yes,19100 USD,
920,0,2.1,1,5,0,25600 MB,0.4,115,7,14,209,1078,785MB,10,7,5,0,1,1,"$34,089 MXN",
1144,1,1.5,1,0,0,21000 MB,0.4,189,1,11,159,724,3252MB,16,0,8,0,0,No,"20,089 pesos",
1995,1,0.5,0,6,0,26 MB,0.2,129,1,15,649,1104,1322MB,15,11,7,0,1,Yes,"$39,099 ",
1430,0,0.5,1,1,0,27000 MB,0.5,183,1,16,1132,1182,2832MB,7,1,15,0,1,1,30100 USD,
972,1,0.5,1,5,0,13000 MB,0.4,193,5,8,1392,1795,1615MB,11,6,13,0,1,no,EUR 23100,
662,0,0.5,0,5,0,20 GB,0.8,138,1,10,1001,1224,2125MB,17,15,15,0,1,1,"$22,049 ",
1867,0,2.3,0,0,1,9000 MB,0.1,191,6,3,712,1442,990MB,6,1,2,1,0,Yes,"$38,099 ",
1730,0,2,1,0,1,20 GB,0.1,143,4,10,418,1023,1595MB,14,0,12,1,1,No,28000 USD,
1723,1,1,0,1,1,7 MB,0.6,126,3,17,384,1361,1213MB,5,0,16,1,1,1,49100 MXN,
1882,1,1.3,1,8,0,47000 MB,0.2,140,2,13,119,652,2500MB,17,1,11,0,0,1,EUR 26000,
803,0,0.8,1,0,0,18 MB,0.3,106,4,1,627,935,2801MB,18,15,12,0,1,No,"$4,000 ",
580,1,1.2,1,0,0,48128 MB,0.9,91,3,1,1086,1345,3451MB,15,1,11,1,1,no,"USD 39,089",
668,0,2.3,0,2,1,48 MB,0.3,114,1,19,195,1292,1201MB,14,12,4,1,1,No,"$30,000 ",
1391,0,1.4,0,2,1,36 GB,0.8,182,1,6,14,1256,3139MB,14,7,14,1,1,0,"$31,000 ",
1560,0,2.3,0,0,1,22 MB,0.8,169,7,1,745,1364,1938MB,15,11,16,1,1,Yes,"USD 28,049",
821,0,1.8,1,5,0,54 GB,0.1,109,3,9,253,1786,3185MB,8,4,15,1,0,no,32100 USD,
811,1,2.4,1,5,1,2000 MB,0.3,106,6,13,333,1429,2111MB,18,7,2,1,0,yes,"USD 41,099",
1989,1,2.9,1,8,0,17 GB,0.1,193,8,15,629,682,2369MB,7,0,18,1,1,0,23100 USD,
1034,1,2.7,1,6,0,37 GB,0.7,120,7,20,707,1199,3625MB,17,1,12,0,1,1,"$42,100 ",
618,0,2.1,0,2,0,6GB,0.3,86,1,4,1314,1688,1051MB,13,10,15,0,0,1,"$4,000 ",
654,1,1.3,0,0,1,52 MB,0.7,196,4,4,1715,1898,1036MB,17,4,13,1,0,no,"$42,089 ",
576,1,2.8,0,2,1,10240 MB,0.2,184,5,7,513,1438,2938MB,6,0,5,1,1,Yes,49000 MXN,
667,1,0.6,0,6,1,3 GB,0.7,185,6,13,13,1463,2855MB,5,0,19,1,0,Yes,EUR 8000,
869,1,1,0,7,1,57 GB,0.6,118,1,15,1243,1584,2727MB,13,3,8,1,0,No,"$12,089 MXN",
635,1,0.5,1,2,0,42 GB,0.4,149,3,4,300,1059,2973MB,12,5,18,0,0,yes,"$4,089 MXN",
609,1,3,0,15,1,45056 MB,0.3,117,1,16,58,1253,2581MB,15,11,15,1,0,1,20100 USD,
1557,0,2.8,1,16,0,2048 MB,0.1,123,5,20,1107,1442,2690MB,18,16,9,0,0,1,"$29,049 ",
1604,1,1.7,0,2,0,33792 MB,1,191,8,5,134,939,916MB,13,10,12,0,1,1,"35,099 pesos",
1182,0,0.5,0,7,1,8000 MB,0.5,138,8,16,275,986,2563MB,19,17,19,1,0,no,"$45,049 ",
848,1,2.1,1,10,1,19456 MB,0.8,148,7,18,176,1029,3359MB,10,0,14,1,0,No,"13,000 pesos",
1610,1,2.9,0,7,1,64GB,0.9,181,4,12,1236,1280,941MB,8,4,9,1,1,0,EUR 26000,
1828,1,2.1,1,0,0,17 MB,0.9,199,1,1,336,898,2280MB,17,14,4,0,0,no,"$39,049 ",
880,0,2,1,1,1,50 GB,0.5,194,7,3,1116,1381,827MB,15,9,6,1,0,1,EUR 31090,
1394,1,0.9,1,10,1,63488 MB,0.3,175,5,13,1010,1565,473MB,11,1,20,1,1,0,EUR 18000,
1960,1,2.3,1,1,1,62464 MB,0.3,86,7,3,205,1299,3865MB,10,7,11,1,0,0,"USD 20,049",
809,0,0.8,0,10,0,21504 MB,0.9,91,7,19,1453,1726,1274MB,18,7,3,0,0,0,"30,089 pesos",
899,0,0.5,1,13,1,57 GB,0.9,172,2,18,788,1331,364MB,11,1,7,1,1,No,"21,099 MXN",
1976,1,0.7,1,4,0,32000 MB,0.8,171,2,7,1301,1922,3699MB,17,11,13,0,1,yes,"$31,089 ",
879,0,1.5,1,0,1,21504 MB,0.8,187,4,2,463,1038,2927MB,14,13,11,1,0,1,"USD 26,099",
916,1,2.6,0,0,0,36 GB,0.3,195,4,12,188,992,1470MB,13,0,14,0,1,no,"17,099 pesos",
763,0,1.7,1,8,1,2GB,0.5,92,8,14,1028,1186,1050MB,6,4,8,1,1,No,"24,089 MXN",
508,0,1.6,1,0,0,9000 MB,0.4,162,6,2,1419,1920,2616MB,18,8,10,1,1,1,"3,099 MXN",
825,0,2.9,1,0,0,34000 MB,0.8,99,8,17,1471,1866,2915MB,8,2,10,1,1,0,"2,000 pesos",
1864,0,1.4,0,8,1,46 GB,0.7,178,1,12,168,981,2686MB,11,7,18,1,1,yes,"49,099 MXN",
1725,0,0.5,1,8,1,52 GB,1,185,6,12,1125,1195,1243MB,19,18,5,1,1,1,"$16,089 ",
1108,1,2.9,0,10,0,53248 MB,0.1,183,2,12,130,1706,3264MB,16,1,13,0,1,1,"42,049 pesos",
1011,0,1.1,0,4,1,36864 MB,0.2,131,7,18,481,749,2261MB,7,6,16,1,1,yes,"USD 18,049",
1703,1,1.5,1,17,1,55 GB,0.7,138,5,19,1411,1711,2993MB,5,1,20,1,1,yes,"42,000 MXN",
1067,1,1.7,1,0,0,59392 MB,0.5,135,7,0,79,681,706MB,12,9,16,0,1,no,"30,000 pesos",
1334,1,2.4,0,5,1,42 GB,0.6,115,5,14,1187,1974,2542MB,10,1,8,1,0,0,"USD 25,049",
775,1,2.6,0,0,0,30GB,0.4,189,7,10,561,1510,2523MB,17,16,9,1,0,Yes,20100 MXN,
1899,1,0.6,0,0,0,26 MB,0.1,151,2,0,96,814,336MB,13,11,4,1,0,Yes,"$13,049 ",
930,1,1.3,1,1,1,14GB,0.4,97,6,10,77,1025,2457MB,11,7,17,1,1,No,"$36,090 ",
1058,0,1.5,0,2,0,19000 MB,0.4,166,4,14,493,1247,418MB,9,7,16,0,0,1,"$34,089 ",
1187,1,2.2,0,0,1,46GB,0.4,145,2,9,1173,1814,3917MB,13,11,8,1,0,Yes,"18,099 MXN",
1874,1,2.7,1,10,0,8000 MB,0.9,166,7,13,964,1233,1246MB,8,1,2,0,0,1,"USD 49,089",
1482,0,0.5,0,2,0,48000 MB,0.2,142,7,10,634,642,2971MB,12,8,12,1,1,1,"$31,000 ",
1809,1,1.7,0,3,1,60416 MB,0.1,174,3,4,639,721,2324MB,10,6,16,1,0,yes,50000 MXN,
864,1,3,1,0,1,55296 MB,0.7,187,2,1,127,1670,3121MB,18,2,16,1,1,yes,"USD 37,089",
625,1,1.9,0,12,1,33792 MB,0.2,191,1,20,431,550,3801MB,10,6,2,1,0,0,"27,000 MXN",
1880,1,1.8,0,4,1,18 GB,0.7,138,3,5,71,699,3333MB,17,15,7,1,0,0,EUR 36000,
1138,0,1.4,0,12,1,44GB,0.2,187,8,17,111,1138,3475MB,19,3,3,1,0,0,"25,089 pesos",
560,0,0.5,0,14,0,23552 MB,1,146,8,15,356,1903,2360MB,17,16,18,0,1,1,"USD 26,089",
1117,0,0.5,0,1,0,12288 MB,0.6,144,7,8,798,817,2895MB,7,6,16,1,1,no,EUR 45000,
1712,0,1.4,0,1,0,63 MB,0.5,137,7,12,747,1126,3652MB,16,1,19,1,0,No,"3,089 pesos",
1836,1,1.7,1,3,0,26 GB,0.1,134,6,16,408,1139,3097MB,5,0,18,0,1,no,EUR 16000,
1036,1,2.4,0,0,0,39 GB,0.2,119,7,3,373,926,2101MB,10,7,2,0,1,no,46100 MXN,
1860,1,2.3,0,15,0,23000 MB,0.6,162,4,16,1362,1506,3918MB,9,2,8,0,1,0,"$9,049 MXN",
1375,1,1.1,0,3,1,9216 MB,0.9,145,7,19,475,726,3869MB,19,18,10,1,1,1,EUR 4090,
1945,0,1.6,1,0,1,57000 MB,0.3,195,4,1,743,1753,732MB,14,1,14,1,1,0,"$9,000 ",
1896,0,0.5,1,8,1,7000 MB,0.4,141,2,13,447,794,3684MB,9,7,18,1,0,no,36000 MXN,
788,0,2.5,1,4,1,57 GB,0.9,91,8,12,42,1161,3969MB,12,8,6,1,1,yes,"$31,090 ",
880,1,1.7,1,0,0,33 GB,0.7,173,2,2,30,1350,1414MB,12,1,7,1,1,No,28000 MXN,
1323,1,2.5,1,10,1,28672 MB,0.2,131,4,12,162,619,1892MB,10,0,15,1,1,1,EUR 43000,
1868,0,2,1,0,1,42GB,0.2,169,1,4,347,660,3131MB,8,3,7,1,1,yes,"41,099 MXN",
1266,0,1.9,1,0,1,7168 MB,0.2,184,3,12,346,1468,2532MB,10,5,4,1,1,yes,"$4,089 ",
1042,0,2.7,1,16,1,50000 MB,0.8,93,7,18,727,1705,3215MB,18,0,20,1,1,yes,"$30,099 ",
1479,0,0.5,0,8,0,19000 MB,0.6,156,3,10,180,1476,3323MB,13,12,6,1,0,1,25000 USD,
1476,1,1.2,1,0,1,56320 MB,0.1,171,4,5,1641,1666,1529MB,13,8,3,1,0,yes,"$36,089 MXN",
1552,1,2.2,0,6,1,13 GB,0.2,123,6,9,269,1026,2403MB,9,2,9,1,1,yes,"$27,089 ",
1454,1,0.5,1,1,0,34GB,0.7,83,4,3,250,1033,3419MB,7,5,5,1,1,no,"USD 9,099",
1007,0,2,0,0,0,45 MB,0.1,95,5,2,1186,1529,3648MB,9,0,16,0,0,0,"44,049 pesos",
652,1,2.4,1,9,1,17000 MB,0.7,173,5,11,77,559,1974MB,12,10,12,1,0,no,3000 USD,
1504,0,1.5,0,12,1,34 GB,0.7,142,8,15,507,973,2806MB,7,2,7,1,0,Yes,"17,049 pesos",
1726,1,0.9,1,2,0,51 MB,0.6,193,4,3,379,1223,2239MB,13,9,13,1,0,1,"$15,000 ",
1029,1,1.9,1,5,1,5GB,0.2,171,5,8,264,956,582MB,15,7,4,1,1,yes,"$15,049 ",
1582,0,2.8,0,2,1,44 GB,0.5,112,6,13,1486,1797,3890MB,17,10,10,1,1,1,"23,049 pesos",
1478,1,0.8,1,12,0,48 GB,0.7,99,5,17,694,882,1141MB,5,2,6,0,0,Yes,"$2,089 ",
1178,1,1.3,0,0,0,50176 MB,0.6,101,5,0,579,596,2511MB,6,3,17,0,0,0,"$10,089 ",
707,0,2.1,1,2,0,25600 MB,0.8,131,3,17,495,574,3838MB,9,2,7,1,0,1,"$9,000 ",
755,1,2.8,0,5,1,51000 MB,0.3,186,4,12,315,990,2734MB,10,1,16,1,0,yes,"$2,089 ",
912,1,2,0,1,0,55296 MB,0.3,161,8,5,329,1053,2330MB,19,5,20,0,1,no,"$39,089 MXN",
651,1,0.8,1,2,1,63GB,0.2,176,5,4,548,858,2244MB,14,9,19,1,1,no,"$13,089 MXN",
1483,0,2.1,0,1,1,55296 MB,0.2,176,7,2,531,758,1851MB,15,13,2,1,1,0,"$10,100 ",
914,1,0.9,0,2,0,4000 MB,0.8,100,2,12,191,1495,808MB,11,7,5,1,1,no,EUR 9000,
1456,1,0.5,1,7,0,7000 MB,0.4,105,5,12,823,1104,1587MB,6,5,20,1,0,Yes,"$30,090 ",
1178,0,2.2,1,6,0,57 GB,0.3,84,3,17,96,1352,2492MB,16,14,10,1,1,0,EUR 39000,
1503,1,0.7,0,10,1,43 GB,0.2,166,4,14,841,1304,2122MB,15,1,2,1,0,0,"34,049 pesos",
1681,1,2.5,0,2,0,11GB,0.4,158,2,13,195,1205,1122MB,12,6,16,0,1,yes,EUR 4090,
715,0,2.3,1,4,0,48 GB,0.1,160,4,6,21,562,3709MB,14,2,10,0,0,No,"$43,000 MXN",
1876,0,2.8,1,3,1,57344 MB,0.4,182,3,4,235,585,3021MB,12,2,18,1,0,0,32100 MXN,
1190,1,2.2,1,9,0,47GB,0.3,186,6,10,1417,1441,624MB,9,3,19,1,1,yes,EUR 45000,
1755,1,1.3,0,0,1,24576 MB,0.1,134,7,2,286,1075,3937MB,8,1,7,1,0,1,"USD 47,099",
1197,0,1.3,0,3,1,20 GB,0.5,149,6,7,649,1629,1797MB,19,5,4,1,1,yes,"7,089 pesos",
1048,1,0.9,0,10,1,28 GB,0.8,194,2,19,966,1975,1458MB,5,1,15,1,0,1,"$11,000 ",
1887,1,3,1,6,1,17 MB,0.2,126,8,7,1172,1798,3348MB,18,16,16,1,1,0,19100 MXN,
1772,1,0.5,1,3,0,64GB,0.7,116,8,15,270,545,1834MB,5,2,20,0,1,yes,EUR 40090,
1421,0,2.8,0,0,1,57 GB,0.4,165,1,2,781,1657,2775MB,13,8,14,1,0,yes,"USD 34,099",
1464,0,0.5,1,0,1,17 MB,0.7,153,6,8,418,1341,1277MB,13,6,19,1,0,no,"$46,000 ",
728,0,2.3,1,4,0,23GB,0.8,111,4,5,126,817,457MB,17,10,16,1,1,yes,48000 MXN,
954,1,0.5,0,0,0,51200 MB,0.3,134,2,11,228,1058,438MB,17,0,2,1,0,0,30000 MXN,
685,0,0.5,1,8,1,13 GB,0.8,82,7,15,1091,1203,3210MB,15,7,2,1,1,1,23100 MXN,
1472,0,2.8,1,1,0,36 GB,0.5,130,6,10,1452,1744,985MB,12,11,7,1,1,No,28000 USD,
853,1,2,0,10,1,3 GB,0.6,200,2,16,674,740,3701MB,15,8,8,1,1,no,"29,089 MXN",
1469,0,2.1,0,0,0,8192 MB,0.7,123,7,0,398,1133,1052MB,8,1,3,0,1,0,EUR 25000,
1310,1,2.3,1,6,0,57000 MB,0.9,135,8,9,449,889,1175MB,16,0,8,0,0,No,"USD 6,000",
1654,0,1.8,0,1,0,11000 MB,0.3,146,7,2,1184,1719,1070MB,8,1,14,1,1,yes,"USD 7,099",
902,1,0.7,0,3,0,3072 MB,0.3,134,7,9,675,1285,3411MB,12,11,15,0,0,1,"$49,089 ",
1448,0,1.4,1,13,0,26000 MB,1,156,3,16,1792,1850,1175MB,12,9,6,0,1,no,"37,000 pesos",
1631,0,0.9,1,2,1,3GB,0.1,198,7,12,177,1905,301MB,13,5,13,1,0,0,"USD 37,089",
1608,0,1.8,1,7,0,28 MB,0.4,183,2,13,1013,1158,489MB,15,11,8,0,0,Yes,28100 MXN,
1991,1,2.7,0,5,1,64 GB,0.9,145,2,13,1058,1325,1733MB,5,3,8,1,1,0,"48,000 MXN",
1349,0,2,1,15,0,63488 MB,0.3,114,5,16,592,772,2756MB,11,3,4,1,0,0,40100 USD,
1589,0,2.5,0,5,1,52224 MB,0.8,195,1,18,810,1743,2612MB,8,2,16,1,0,0,"$8,049 ",
1844,1,2.3,1,1,0,51 MB,0.7,158,8,3,533,882,1724MB,5,1,14,0,1,yes,"$44,099 ",
712,1,0.5,1,3,1,35GB,0.2,84,2,10,558,1208,2190MB,16,12,4,1,1,1,"$8,090 ",
972,1,1.7,0,0,1,54 GB,0.7,107,3,4,681,1050,1900MB,16,8,19,1,0,1,"25,000 MXN",
1406,0,0.5,1,2,1,34000 MB,0.8,98,3,5,1017,1366,3915MB,9,8,2,1,0,1,38000 MXN,
1289,0,0.9,0,10,1,25000 MB,1,178,6,12,765,899,1043MB,6,2,11,1,1,No,"37,000 pesos",
932,0,1.3,0,1,0,64 MB,0.7,154,7,2,1176,1224,3817MB,8,7,9,1,1,1,"$44,089 MXN",
